,Date,Total
290,12/10/2009,403
291,12/11/2009,369
292,12/12/2009,45
293,12/14/2009,458
294,12/15/2009,362
295,12/16/2009,405
296,12/17/2009,338
297,12/18/2009,381
298,12/19/2009,41
299,12/20/2009,2
300,12/21/2009,531
301,12/22/2009,390
302,12/23/2009,400
303,12/24/2009,106
304,12/26/2009,76
305,12/28/2009,513
306,12/29/2009,418
307,12/30/2009,431
308,12/31/2009,307
309,01/02/2010,124
310,01/04/2010,502
311,01/05/2010,352
312,01/06/2010,377
313,01/07/2010,372
314,01/08/2010,332
315,01/09/2010,54
316,01/11/2010,514
317,01/12/2010,395
318,01/13/2010,361
319,01/14/2010,302
320,01/15/2010,349
321,01/16/2010,55
322,01/18/2010,448
323,01/19/2010,319
324,01/20/2010,342
325,01/21/2010,327
326,01/22/2010,287
327,01/23/2010,41
328,01/25/2010,482
329,01/26/2010,313
330,01/27/2010,374
331,01/28/2010,341
332,01/29/2010,344
333,01/30/2010,48
334,02/01/2010,457
335,02/02/2010,353
336,02/03/2010,320
337,02/04/2010,324
338,02/05/2010,310
339,02/06/2010,49
340,02/08/2010,429
341,02/09/2010,318
342,02/10/2010,323
343,02/11/2010,395
344,02/12/2010,366
345,02/13/2010,61
346,02/15/2010,430
347,02/16/2010,343
348,02/17/2010,293
349,02/18/2010,361
350,02/19/2010,296
351,02/20/2010,56
352,02/22/2010,432
353,02/23/2010,331
354,02/24/2010,370
355,02/25/2010,275
356,02/26/2010,320
357,02/27/2010,65
358,03/01/2010,478
359,03/02/2010,338
360,03/03/2010,367
361,03/04/2010,322
362,03/05/2010,357
363,03/06/2010,37
364,03/08/2010,476
365,03/09/2010,314
366,03/10/2010,335
367,03/11/2010,385
368,03/12/2010,363
369,03/13/2010,34
370,03/15/2010,452
371,03/16/2010,358
372,03/17/2010,327
373,03/18/2010,379
374,03/19/2010,358
375,03/20/2010,37
376,03/22/2010,389
377,03/23/2010,310
378,03/24/2010,273
379,03/25/2010,321
380,03/26/2010,317
381,03/27/2010,35
382,03/29/2010,381
383,03/30/2010,337
384,03/31/2010,292
385,04/01/2010,331
386,04/02/2010,320
387,04/03/2010,84
388,04/05/2010,437
389,04/06/2010,349
390,04/07/2010,357
391,04/08/2010,322
392,04/09/2010,370
393,04/10/2010,48
394,04/12/2010,489
395,04/13/2010,334
396,04/14/2010,338
397,04/15/2010,307
398,04/16/2010,367
399,04/17/2010,40
400,04/19/2010,447
401,04/20/2010,330
402,04/21/2010,362
403,04/22/2010,321
404,04/23/2010,311
405,04/24/2010,48
406,04/26/2010,418
407,04/27/2010,342
408,04/28/2010,282
409,04/29/2010,350
410,04/30/2010,337
411,05/01/2010,74
412,05/03/2010,482
413,05/04/2010,397
414,05/05/2010,346
415,05/06/2010,305
416,05/07/2010,389
417,05/08/2010,32
418,05/10/2010,436
419,05/11/2010,301
420,05/12/2010,427
421,05/13/2010,344
422,05/14/2010,325
423,05/15/2010,32
424,05/17/2010,474
425,05/18/2010,346
426,05/19/2010,317
427,05/20/2010,316
428,05/21/2010,330
429,05/22/2010,31
430,05/24/2010,457
431,05/25/2010,327
432,05/26/2010,282
433,05/27/2010,392
434,05/28/2010,319
435,05/29/2010,57
436,06/01/2010,536
437,06/02/2010,397
438,06/03/2010,379
439,06/04/2010,391
440,06/05/2010,47
441,06/07/2010,442
442,06/08/2010,284
443,06/09/2010,394
444,06/10/2010,338
445,06/11/2010,295
446,06/12/2010,36
447,06/13/2010,5
448,06/14/2010,369
449,06/15/2010,280
450,06/16/2010,306
451,06/17/2010,345
452,06/18/2010,371
453,06/19/2010,38
454,06/21/2010,471
455,06/22/2010,348
456,06/23/2010,336
457,06/24/2010,320
458,06/25/2010,339
459,06/26/2010,40
460,06/28/2010,442
461,06/29/2010,349
462,06/30/2010,396
463,07/01/2010,348
464,07/02/2010,315
465,07/03/2010,63
466,07/05/2010,365
467,07/06/2010,355
468,07/07/2010,378
469,07/08/2010,226
470,07/09/2010,320
471,07/10/2010,64
472,07/12/2010,405
473,07/13/2010,323
474,07/14/2010,284
475,07/15/2010,309
476,07/16/2010,332
477,07/17/2010,57
478,07/19/2010,441
479,07/20/2010,282
480,07/21/2010,385
481,07/22/2010,323
482,07/23/2010,262
483,07/24/2010,39
484,07/26/2010,377
485,07/27/2010,307
486,07/28/2010,343
487,07/29/2010,374
488,07/30/2010,303
489,07/31/2010,63
490,08/02/2010,460
491,08/03/2010,312
492,08/04/2010,354
493,08/05/2010,363
494,08/06/2010,329
495,08/07/2010,40
496,08/09/2010,435
497,08/10/2010,371
498,08/11/2010,323
499,08/12/2010,302
500,08/13/2010,369
501,08/14/2010,59
502,08/16/2010,400
503,08/17/2010,312
504,08/18/2010,318
505,08/19/2010,320
506,08/20/2010,341
507,08/21/2010,57
508,08/23/2010,367
509,08/24/2010,321
510,08/25/2010,328
511,08/26/2010,292
512,08/27/2010,337
513,08/28/2010,44
514,08/30/2010,517
515,08/31/2010,364
516,09/01/2010,410
517,09/02/2010,403
518,09/03/2010,384
519,09/04/2010,50
520,09/06/2010,5
521,09/07/2010,535
522,09/08/2010,386
