																														
		07/08/2017 																							63					
																														
																														
		07/10/2017 																							95					
																														
																														
		07/11/2017 																							79					
																														
																														
		07/12/2017 																							115					
																														
																														
		07/13/2017 																							106					
																														
																														
		07/14/2017 																							94					
																														
																														
		07/15/2017 																							39					
																														
																														
		07/17/2017 																							98					
																														
																														
		07/18/2017 																							82					
																														
																														
		07/19/2017 																							151					
																														
																														
		07/20/2017 																							98					
																														
																														
		07/21/2017 																							148					
																														
																														
		07/22/2017 																							70					
																														
																														
		07/24/2017 																							80					
																														
																														
		07/25/2017 																							88					
																														
																														
		07/26/2017 																							125					
																														
																														
		07/27/2017 																							137					
																														
																														
		07/28/2017 																							98					
																														
																														
		07/29/2017 																							61					
																														
																														
		07/31/2017 																							113					
																														
																														
		08/01/2017 																							130					
																														
																														
		08/02/2017 																							123					
																														
																														
		08/03/2017 																							120					
																														
																														
		08/04/2017 																							114					
																														
																														
		08/05/2017 																							112					
																														
																														
		08/07/2017 																							121					
																														
																														
		08/08/2017 																							112					
																														
																														
		08/09/2017 																							99					
																														
																														
		08/10/2017 																							75					
																														
																														
		08/11/2017 																							93					
																														
																														
		08/12/2017 																							101					
																														
																														
		08/14/2017 																							106					
																														
																														
		08/15/2017 																							111					
																														
																														
		08/16/2017 																							78					
																														
																														
		08/17/2017 																							96					
																														
																														
		08/18/2017 																							92					
																														
																														
		08/19/2017 																							92					
																														
																														
		08/21/2017 																							93					
																														
																														
		08/22/2017 																							73					
																														
																														
		08/23/2017 																							120					
																														
																														
		08/24/2017 																							120					
																														
																														
		08/25/2017 																							83					
																														
																														
		08/26/2017 																							73					
																														
																														
		08/28/2017 																							114					
																														
																														
		08/29/2017 																							95					
																														
																														
		08/30/2017 																							122					
																														
																														
		08/31/2017 																							177					
																														
																														
		09/01/2017 																							155					
																														
																														
		09/02/2017 																							78					
																														
																														
		09/05/2017 																							103					
																														
																														
		09/06/2017 																							112					
																														
																														
		09/07/2017 																							138					
																														
																														
		09/08/2017 																							88					
																														
																														
		09/09/2017 																							75					
																														
																														
		09/11/2017 																							87					
																														
																														
		09/12/2017 																							94					
																														
																														
		09/13/2017 																							75					
																														
																														
		09/14/2017 																							115					
																														
																														
		09/15/2017 																							124					
																														
																														
		09/16/2017 																							73					
																														
																														
		09/18/2017 																							87					
																														
																														
		09/19/2017 																							122					
																														
																														
		09/20/2017 																							106					
																														
																														
		09/21/2017 																							109					
																														
																														
		09/22/2017 																							132					
																														
																														
		09/23/2017 																							38					

		
		09/25/2017 																							80					
																														
																														
		09/26/2017 																							131					
																														
																														
		09/27/2017 																							121					
																														
																														
		09/28/2017 																							147					
																														
																														
		09/29/2017 																							107					
																														
																														
		09/30/2017 																							68					
																														
		10/02/2017 																							158					
																														
																														
		10/03/2017 																							131					
																														
																														
		10/04/2017 																							151					
																														
																														
		10/05/2017 																							95					
																														
																														
		10/06/2017 																							111					
																														
																														
		10/07/2017 																							62					
																														
																														
		10/09/2017 																							124					
																														
																														
		10/10/2017 																							108					
																														
																														
		10/11/2017 																							76					
																														
																														
		10/12/2017 																							120					
																														
																														
		10/13/2017 																							109					
																														
																														
		10/14/2017 																							48					
																														
																														
		10/16/2017 																							87					
																														
																														
		10/17/2017 																							90					
																														
																														
		10/18/2017 																							146					
																														
																														
		10/19/2017 																							94					

		10/20/2017 																							121					
																														
																														
		10/21/2017 																							71					
																														
																														
		10/23/2017 																							96					
																														
																														
		10/24/2017 																							129					
																														
																														
		10/25/2017 																							109					
																														
																														
		10/26/2017 																							98					
																														
																														
		10/27/2017 																							113					
																														
																														
		10/28/2017 																							89					
																														
																														
		10/30/2017 																							95					
																														
																														
		10/31/2017 																							141					
																														
																														
																														
		11/01/2017 																							135					
																														
																														
		11/02/2017 																							107					
																														
																														
		11/03/2017 																							117					
																														
																														
		11/04/2017 																							74					
																														
																														
		11/06/2017 																							114					
																														
																														
		11/07/2017 																							91					
																														
																														
		11/08/2017 																							132					
																														
																														
		11/09/2017 																							91					
																														
																														
		11/10/2017 																							95					
																														
																														
		11/11/2017 																							78					
																														
																														
		11/13/2017 																							89					
																														
																														
		11/14/2017 																							96					
																														
																														
		11/15/2017 																							94					
																														
																														
		11/16/2017 																							99					
																														
																														
		11/17/2017 																							99					
																														
																														
		11/18/2017 																							69					
																														
																														
		11/20/2017 																							117					
																														
																														
		11/21/2017 																							108					
																														
																														
		11/22/2017 																							118					
																														
																														
		11/24/2017 																							118					
																														
																														
		11/25/2017 																							59					
																														
																														
		11/27/2017 																							106					
																														
																														
		11/28/2017 																							103					
																														
																														
		11/29/2017 																							148					
																														
																														
		11/30/2017 																							103					
